source_axis,source_ata,source_block,source_phase,source_knot,decision_or_uncertainty,impacted_axis,impacted_ata,impacted_block,impacted_phase,impacted_knot,coupling_type,impact_mode,severity,likelihood,risk_score,requires_signoff,signoff_aor,required_evidence,linked_tasks,notes
T,21,10,LC02,K02,ECS operational procedures,I,10,10,LC11,K11,soft,ops,2,2,4,false,,ConOps integration,K11-T001 (planned),ECS operational constraints must be integrated into parking/mooring/storage procedures.
T,21,10,LC02,K02,ECS servicing requirements,I,12,10,LC11,K11,soft,ops,3,3,9,false,,Servicing procedures,K11-T001 (planned),ECS servicing (filters replacement fluids) must be defined in ATA-12 servicing procedures.
T,21,10,LC02,K02,ECS verification requirements,S,111,10,LC05,K05,hard,vv,4,4,16,true,STK_TEST,Integration test plan,K05-T001 (planned),ECS must undergo integrated system testing per ATA-111 requirements.
T,21,10,LC02,K02,ECS qualification requirements,S,110,40,LC05,K05,hard,vv,5,4,20,true,STK_CERT,Environmental qualification test results,K05-T002 (planned),ECS must pass space qualification testing (thermal cycling vacuum) per ATA-110.
T,21,10,LC02,K02,ECS certification requirements,S,115,10,LC08,K08,hard,compliance,5,4,20,true,STK_CERT,Certification test results and compliance reports,K08-T001 (planned),ECS must meet certification requirements for human-rated space transport.
T,21,10,LC03,K03-T001,ECS power quality envelope and peak loads not allocated; risk of non-compliant operation under transients,T,24,10,LC03,K03,hard,architecture,4,3,12,true,STK_CM,EV-LC03-001;EV-LC03-002,K03-T001,Requires ICD hooks to ATA24; baseline approval gate at LC03.
T,21,10,LC03,K03-T001,Thermal interface bounds (heat rejection/absorption) not quantified; may violate platform thermal constraints,T,21,10,LC04,K04,hard,integration,4,3,12,true,STK_CM,EV-LC04-001;EV-LC04-002,K04-T001;K03-T001,Thermal constraints must be traceable from architecture → analysis → test plan.
T,21,10,LC03,K03-T001,Air quality/smoke detection interface not specified; risk to hazard closure and alerting pipeline,T,26,10,LC03,K03,hard,safety,5,2,10,true,STK_CERT,EV-LC03-001;EV-LC04-005,K03-T001,Couples to fire protection and safety evidence; may require DEC on thresholds and response timing.
T,21,10,LC03,K03-T001,Alerting/indications for ECS thresholds not allocated; risk of non-compliant crew awareness,T,31,10,LC03,K03,soft,integration,3,3,9,false,,EV-LC03-002;EV-LC03-003,K03-T001,Interface must be captured in ICD index; becomes hard if safety case requires explicit annunciations.
T,21,10,LC04,K04-T002,Atmospheric control loop stability margins unknown across occupancy and failure modes,S,00,10,LC06,K07,hard,vv,4,3,12,true,STK_CERT,EV-LC04-003;EV-LC04-004;EV-LC06-001,K04-T002;K05-T001,Verification matrix must show objective→MoC→evidence; UQ/margins policy referenced if applicable.
T,21,10,LC04,K04-T001,Heat rejection model assumptions may be invalid; risk of test plan based on wrong envelope,S,00,10,LC06,K07,hard,vv,4,2,8,true,STK_CERT,EV-LC04-001;EV-LC04-002;EV-LC06-001,K04-T001;K05-T001,Require runlogs + config manifests to make evidence reproducible; impacts TRR readiness.
T,21,10,LC02,K02,Data logging and parameter provenance not defined; weak auditability and digital twin ingestion risk,N,95,10,LC03,K10,soft,monitoring,3,3,9,false,,EV-LC02-003;EV-LC03-002,K02-T001;K03-T001,If ECS telemetry is used for twin/ops decisions coupling becomes hard and requires CY/CERT interface.
T,21,10,LC02,K02,Maintainability constraints not translated into service intervals; risk to ops/MRO readiness and sustainment cost,T,05,10,LC05,K13,soft,ops,3,3,9,false,,EV-LC05-001;EV-LC05-002,K05-T001,Promote to hard coupling if dispatch/turnaround constraints are mandated by program ops.
T,21,10,LC02,K02,Consumables/filters/material selection not mapped to circularity KPIs; risk to ESG claims and LC09/LC14 linkage,T,85,80,LC09,K09,conditional,circularity,2,3,6,false,,(ref) circularity KPI ledger; EV-LC02-001,K02-T001,Becomes hard if DPP/ESG claims are asserted for this subsystem.
T,21,10,LC05,K05-T001,Test environment qualification and calibration chain not defined; evidence may be rejected,I,00,10,LC06,K11,hard,vv,5,2,10,true,STK_CERT,EV-LC05-001;EV-LC05-003;EV-LC06-001,K05-T001,For LC06 gate evidence acceptability requires environment + calibration trace (S-axis K04/K11 equivalents).
T,21,10,LC02,K02,CO₂ capture added to satisfy REQ-ECS-ATM-005 introduces bidirectional power interface and load envelope,T,24,10,LC03,K03,hard,architecture,4,3,12,true,STK_CM,21_AMPEL360_SPACET_Q10_BASELINE_PLUS_HW_10_LC02_K02_STK_CEGT__co2-loop-power-support-interfaces_DELIVERABLE_SPEC_I01-R01_DRAFT.md,K03-T001,Power support mode requires defined charge/discharge envelopes, ramp limits, protections, and shedding behavior. CEGT is accountable; SE produces ICD details; CM baselines the interface and forbids relaxing requirements without change control.
T,21,10,LC02,K02,CO₂ capture/regeneration + energy module increase heat rejection envelope and thermal coupling,T,21,10,LC04,K04,hard,integration,4,3,12,true,STK_CM,21_AMPEL360_SPACET_Q10_BASELINE_PLUS_HW_10_LC04_K04-T011_STK_PHM__co2-loop-thermal-envelope_DELIVERABLE_RPT_I01-R01_DRAFT.md,K04-T001,Heat rejection must be quantified to avoid trading CO₂ control for thermal non-compliance. PHM produces thermal envelope; CM gates baseline; CEGT remains accountable for sustainability and loop integrity.
T,21,10,LC02,K02,Claim boundary: power support only requires auditable energy balance and LC06 verification mapping,S,00,10,LC06,K07,hard,compliance,5,2,10,true,STK_CERT,21_AMPEL360_SPACET_Q10_BASELINE_PLUS_PR_10_LC04_K04-T010_STK_CEGT__co2-loop-energy-balance_DELIVERABLE_RPT_I01-R01_DRAFT.md,K04-T002;K05-T001,CERT needs explicit evidence that module is storage/management (not energy source) and that requirements are verifiable. CERT must accept evidence that the loop is closed and energy is stored/managed; no thrust and no mass ejection.
S,21,10,LC03,K03,CO₂ storage/pressure/isolation hazards and failure response must be bounded and verified,S,00,10,LC06,K09,hard,safety,5,2,10,true,STK_CERT,Hazard analysis + FMEA/FMECA + safety requirements trace,K04-T001;K04-T002,Safety evidence produced by SAF but SIGNOFF remains STK_CERT per constraints.
